"","Tank","Fish","Sex","Eggs","Time.For.Assay.minutes","Round","Assay","Test.animal.origin","Relative.size.counterpart","Rater","Date","Eggs.prior","Age.eggs.prior","Nips","Pec.fans","Tail.Fans","Entrances","Time","Latency","Flee","Tail.strike","Bite","Display","Quiver","Chase.Charge","Sum.Behaviors","Sum.Submissive","Parenting.per,minute","Aggressive.per.minute","Submissive.per.minute","Eggs.after","Eggs.proportion.after","Age.eggs.after","Days.prev.spawn","Days.next.spawn","Days.nearest.spawn","Parenting.per.time"
"81","T18","T18F","F","None",10,"1","CrabLeashed","D3",NA,"GG",2023-08-27,NA,NA,NA,NA,NA,NA,NA,38.472,0,16,2,0,0,0,18,0,NA,1.8,0,NA,NA,NA,9,-13,NA,NA
"82","T18","T18M","M","None",10,"1","CrabLeashed","D3",NA,"GG",2023-08-27,NA,NA,NA,NA,NA,NA,NA,99.8,0,6,0,0,0,0,6,0,NA,0.6,0,NA,NA,NA,9,-13,NA,NA
"83","T18","T18F","F","None",10,"1","Damsel","D1",NA,"GG",2023-08-28,NA,NA,NA,NA,NA,NA,NA,22.155,0,2,1,9,0,47,59,0,NA,5.9,0,NA,NA,NA,10,-12,NA,NA
"84","T18","T18M","M","None",10,"1","Damsel","D1",NA,"GG",2023-08-28,NA,NA,NA,NA,NA,NA,NA,24.258,1,0,0,5,0,1,6,1,NA,0.6,0.1,NA,NA,NA,10,-12,NA,NA
"85","T18","T18F","F","None",2,"1","Male","T20","Larger","GG",2023-08-29,NA,NA,NA,NA,NA,NA,NA,11.579,0,10,19,2,0,40,71,0,NA,35.5,0,NA,NA,NA,11,-11,NA,NA
"86","T18","T18M","M","None",2,"1","Male","T20","Larger","GG",2023-08-29,NA,NA,NA,NA,NA,NA,NA,8.709,0,7,2,16,0,11,36,0,NA,18,0,NA,NA,NA,11,-11,NA,NA
"87","T18","T18F","F","None",2,"1","Female","T6","Smaller","GG",2023-08-30,NA,NA,NA,NA,NA,NA,NA,1.101,0,11,5,1,0,75,92,0,NA,46,0,NA,NA,NA,12,-10,NA,NA
"88","T18","T18M","M","None",2,"1","Female","T6","Smaller","GG",2023-08-30,NA,NA,NA,NA,NA,NA,NA,3.137,0,17,1,12,0,32,62,0,NA,31,0,NA,NA,NA,12,-10,NA,NA
"89","T18","T18F","F","None",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,0.133,0,1,1,4,0,0,6,0,NA,36,0,NA,NA,NA,13,-9,NA,NA
"90","T18","T18M","M","None",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,2.035,0,0,0,4,0,0,4,0,NA,24,0,NA,NA,NA,13,-9,NA,NA
"91","T18","T18F","F","None",5,"1","Rock",NA,NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,42.409,0,27,11,21,0,0,59,0,NA,11.8,0,NA,NA,NA,13,-9,NA,NA
"92","T18","T18M","M","None",5,"1","Rock",NA,NA,"GG",2023-08-31,NA,NA,NA,NA,NA,NA,NA,173.774,0,2,0,0,0,0,2,0,NA,0.4,0,NA,NA,NA,13,-9,NA,NA
"93","A24","A24F","F","Own",5,"1","Parenting","A24",NA,"GG",2023-09-02,"708",3,7,23,0,18,116,NA,NA,NA,NA,NA,NA,NA,30,0,NA,6,0,396,"55.932203389830505",7,1,-12,NA,0.258620689655172
"94","A24","A24M","M","Own",5,"1","Parenting","A24",NA,"GG",2023-09-02,"708",3,28,94,0,16,253,NA,NA,NA,NA,NA,NA,NA,122,0,NA,24.4,0,396,"55.932203389830505",7,1,-12,NA,0.482213438735178
